,model,listing_price,trim,reg_date,mileage,transmission,color,car_body,car_engine,car_page_url
4262,Ford Kuga,"£14,300",1.5L Zetec EcoBoost T,Feb 2019,"17,685 miles",Manual,Blue,5 door SUV,1.5L,https://www.cazoo.co.uk/car-details/0d5e9b60-5b1e-5a84-98aa-a684c3774541/
4263,Vauxhall Grandland X,"£14,300",1.2L SE Turbo,May 2019,"8,376 miles",Manual,Red,5 door SUV,1.2L,https://www.cazoo.co.uk/car-details/ba37769f-332e-5376-9450-f376752bbcaf/
4264,Volkswagen Golf,"£14,300",1.6L SE TDI,Dec 2018,"50,311 miles",Automatic,Blue,5 door Hatchback,1.6L,https://www.cazoo.co.uk/car-details/73d490d6-092c-5994-ada0-3595985d4c53/
4265,Mini Countryman,"£14,300",2L Cooper D,Jun 2015,"12,947 miles",Automatic,Starlight Blue,5 door SUV,2L,https://www.cazoo.co.uk/car-details/65d33644-2278-56b5-92df-d234ba9c4e82/
4266,Nissan Qashqai,"£14,300",1.5L Acenta Premium dCi,Mar 2019,"31,410 miles",Manual,Blue,5 door SUV,1.5L,https://www.cazoo.co.uk/car-details/d1eab1db-393f-51c9-b571-cfd247bc6436/
4267,Toyota Yaris,"£14,300",1.5L Icon VVT-h,Jun 2016,"2,727 miles",Automatic,Black,5 door Hatchback,1.5L,https://www.cazoo.co.uk/car-details/eb407b75-8069-53e1-85fa-09058d4a8735/
4268,Honda Civic,"£14,300",1L EX VTEC Turbo,May 2017,"24,811 miles",Manual,Blue,5 door Hatchback,1L,https://www.cazoo.co.uk/car-details/577d7105-df0f-5cb3-a367-ed021b2639da/
4269,Nissan Qashqai,"£14,300",1.5L Acenta Premium dCi,Mar 2019,"15,181 miles",Manual,Blue,5 door SUV,1.5L,https://www.cazoo.co.uk/car-details/49982670-0a5f-5a67-96e8-cba320533a2d/
4270,Renault Kangoo,"£14,300",1.5L Business+ dCi ENERGY ML20,Aug 2018,"22,101 miles",Manual,Grey,5 door Panel Van,1.5L,https://www.cazoo.co.uk/car-details/233fadc6-5a2c-5855-bb1a-d93b9282a114/
4271,Kia Picanto,"£14,300",1L GT-Line DPi,Feb 2021,"11,899 miles",Automatic,White,5 door Hatchback,1L,https://www.cazoo.co.uk/car-details/11d49ebc-5fc5-534c-8fcb-f4bb396d41d0/
4272,Ford Kuga,"£14,250",1.5L Zetec TDCi,Sept 2018,"21,770 miles",Manual,Grey,5 door SUV,1.5L,https://www.cazoo.co.uk/car-details/0fb926a0-aa05-534e-8d38-32ca4fb3d238/
4273,Ford Focus,"£14,250",1L Zetec EcoBoost T,Jun 2019,"24,976 miles",Manual,Blue,5 door Hatchback,1L,https://www.cazoo.co.uk/car-details/ba6f6082-15b1-55f9-872f-2f8ee44573c8/
4274,Seat Leon,"£14,250",1.4L FR Technology TSI,Sept 2018,"31,349 miles",Manual,Blue,5 door Estate,1.4L,https://www.cazoo.co.uk/car-details/2bc3d218-2522-570c-b66b-f4fd10761c05/
